zone,shift_type,avg_weekly_income,rain_intensity,traffic_congestion,aqi_level,uv_index,claim_count,total_payout_history,actual_loss
Indiranagar,Night,6003.46,7.47,0.301,100.1,6.0,0,0.0,311.23
Electronic City,Peak,5268.97,2.42,0.4984,130.1,10.0,2,979.94,404.23
Yelahanka,Night,7416.71,1.07,0.2769,140.9,3.0,1,538.07,283.83
Marathahalli,Morning,7214.32,1.69,0.4766,103.5,13.0,0,0.0,707.77
Marathahalli,Peak,9393.38,1.12,0.1484,66.1,3.0,2,710.4,397.19
Yelahanka,Night,7543.75,3.87,0.3089,115.1,4.0,3,1317.11,355.35
Marathahalli,Night,9316.22,4.77,0.4441,87.5,10.0,6,2820.59,683.35
HSR Layout,Morning,5123.65,5.37,0.2756,134.4,13.0,1,393.88,689.2
Indiranagar,Peak,7283.72,12.76,0.5683,194.0,10.0,0,0.0,753.51
Yelahanka,Night,4770.5,4.7,0.3459,52.4,8.0,0,0.0,195.86
Indiranagar,Morning,7195.35,2.76,0.5259,177.5,10.0,0,0.0,516.08
Electronic City,Night,6771.42,1.24,0.489,143.5,9.0,0,0.0,440.55
Koramangala,Peak,6685.41,2.36,0.2288,175.1,8.0,7,3422.57,456.37
HSR Layout,Night,6702.94,0.13,0.2255,98.2,11.0,0,0.0,525.29
Jayanagar,Night,8472.78,4.1,0.4962,47.7,10.0,0,0.0,472.37
HSR Layout,Night,3785.28,1.77,0.5798,129.0,2.0,0,0.0,265.54
Yelahanka,Night,5200.42,0.06,0.0454,190.0,4.0,0,0.0,237.21
Jayanagar,Morning,6918.86,0.19,0.2011,67.0,4.0,0,0.0,190.57
Koramangala,Morning,4642.67,1.47,0.2235,74.5,12.0,1,476.26,619.01
Yelahanka,Peak,7092.23,2.63,0.2622,149.4,2.0,1,388.49,323.09
Whitefield,Morning,6898.29,1.87,0.143,94.4,13.0,0,0.0,759.97
Indiranagar,Morning,4192.49,2.9,0.0356,203.3,8.0,0,0.0,318.2
Koramangala,Peak,4093.67,1.96,0.2707,152.6,3.0,2,943.93,301.39
Indiranagar,Morning,2000.0,3.25,0.2898,84.0,2.0,1,350.77,167.77
Marathahalli,Morning,4558.66,0.74,0.1876,91.8,7.0,0,0.0,149.18
Whitefield,Peak,7028.65,0.36,0.1322,93.7,1.0,4,1691.89,300.04
Whitefield,Peak,7312.38,2.72,0.4198,117.9,6.0,1,408.54,343.19
Koramangala,Peak,7403.8,1.99,0.295,135.2,13.0,1,392.06,834.73
Whitefield,Night,5444.16,0.08,0.2094,131.6,13.0,4,2387.96,629.65
Jayanagar,Night,6963.39,1.44,0.1802,63.8,3.0,1,533.17,262.77
Whitefield,Peak,7794.49,0.34,0.0436,165.1,13.0,3,1392.04,826.54
Indiranagar,Peak,4463.93,2.27,0.3911,105.5,3.0,4,1732.07,202.14
Indiranagar,Peak,7246.66,1.51,0.1209,73.6,5.0,0,0.0,224.5
Yelahanka,Night,8312.96,2.85,0.2056,96.8,3.0,4,2489.85,251.44
Indiranagar,Night,6018.46,4.91,0.2126,170.7,12.0,0,0.0,820.58
Yelahanka,Morning,9124.47,1.07,0.2268,129.5,4.0,0,0.0,288.19
Indiranagar,Morning,6065.13,9.82,0.1775,133.9,13.0,3,1600.16,906.2
Jayanagar,Peak,5279.88,2.3,0.3501,61.5,13.0,4,2242.6,604.33
Electronic City,Night,8113.68,2.89,0.3497,126.6,3.0,2,1192.26,435.36
Yelahanka,Night,11066.59,3.42,0.0575,169.9,7.0,0,0.0,458.22
HSR Layout,Night,7170.71,3.3,0.0572,29.9,3.0,1,452.65,365.93
Marathahalli,Peak,8269.82,2.15,0.2641,100.6,10.0,1,640.98,553.58
Koramangala,Morning,5982.57,1.68,0.1323,151.2,4.0,0,0.0,310.84
Indiranagar,Peak,4516.77,0.17,0.1215,127.9,2.0,8,3785.55,254.21
Whitefield,Morning,7332.53,0.07,0.522,69.1,2.0,0,0.0,326.06
Electronic City,Morning,7648.8,1.33,0.2814,139.9,9.0,0,0.0,543.72
Indiranagar,Peak,6284.18,1.22,0.3856,61.6,11.0,0,0.0,521.23
Whitefield,Morning,8262.11,1.47,0.4542,76.6,1.0,1,502.8,273.27
Marathahalli,Morning,5691.84,0.45,0.3826,81.9,1.0,2,1093.47,244.36
Marathahalli,Night,5195.83,4.02,0.3533,197.2,10.0,0,0.0,491.47
Marathahalli,Morning,9121.29,5.83,0.0946,36.5,1.0,2,1016.87,405.22
Whitefield,Peak,9130.7,8.38,0.1224,40.2,3.0,0,0.0,468.32
Indiranagar,Peak,5731.31,2.03,0.1841,134.2,2.0,1,630.04,298.64
Marathahalli,Morning,10437.7,3.62,0.0422,125.2,3.0,2,892.93,406.93
Jayanagar,Night,6425.79,5.8,0.1973,96.5,5.0,0,0.0,257.23
Yelahanka,Night,7169.57,1.63,0.3231,120.7,9.0,1,702.19,290.93
Whitefield,Morning,6830.69,1.11,0.2107,66.8,2.0,3,1314.94,336.1
Whitefield,Morning,8047.52,8.28,0.5702,124.6,12.0,1,487.6,838.14
Indiranagar,Peak,7542.84,2.18,0.2807,130.5,11.0,1,344.37,551.16
Whitefield,Morning,7515.92,2.06,0.0751,180.7,1.0,3,1427.28,521.96
Whitefield,Night,4960.88,0.59,0.8094,215.4,11.0,7,4296.72,663.06
Marathahalli,Morning,3622.88,0.34,0.0344,106.6,6.0,0,0.0,141.07
Indiranagar,Peak,9284.32,5.54,0.0642,56.3,3.0,2,687.87,393.2
Marathahalli,Peak,5909.11,2.86,0.342,139.2,13.0,0,0.0,730.64
Yelahanka,Peak,6901.93,1.18,0.4066,113.3,7.0,0,0.0,261.68
Electronic City,Peak,7653.6,0.64,0.1137,111.1,6.0,0,0.0,196.4
Yelahanka,Peak,10258.02,2.43,0.2566,39.4,11.0,6,2646.71,728.36
Electronic City,Morning,7322.72,2.63,0.49,124.9,7.0,1,511.77,296.93
Marathahalli,Morning,6210.4,0.7,0.1335,141.1,13.0,0,0.0,722.02
Yelahanka,Morning,5952.91,5.72,0.3059,169.7,13.0,0,0.0,685.9
Indiranagar,Morning,6925.29,0.26,0.1692,94.7,5.0,4,1122.15,291.5
Koramangala,Peak,5181.27,1.32,0.133,78.7,1.0,1,554.03,223.89
Marathahalli,Night,7057.75,3.42,0.2254,94.3,3.0,0,0.0,291.82
Electronic City,Morning,6895.96,0.96,0.4076,166.7,3.0,3,1441.01,401.88
Jayanagar,Night,10283.05,5.28,0.0796,189.3,7.0,2,468.83,462.11
Electronic City,Morning,6832.8,4.04,0.3025,176.0,13.0,0,0.0,835.32
Jayanagar,Morning,3151.02,4.67,0.4129,152.4,3.0,1,524.08,169.75
Whitefield,Night,12347.02,0.38,0.272,118.4,11.0,4,1251.38,750.22
Yelahanka,Peak,8913.67,0.45,0.3811,126.2,5.0,4,1934.14,409.26
Jayanagar,Morning,11164.7,1.01,0.2569,133.5,4.0,0,0.0,461.26
Electronic City,Morning,4685.36,2.19,0.5006,107.4,4.0,0,0.0,227.19
Whitefield,Morning,6556.35,4.14,0.2038,164.5,13.0,0,0.0,855.5
Koramangala,Night,8348.8,5.43,0.4781,37.4,7.0,1,565.41,371.41
Indiranagar,Peak,8072.78,3.66,0.377,46.6,1.0,2,1490.83,324.19
Indiranagar,Night,7613.88,7.92,0.4401,37.3,7.0,0,0.0,445.51
Indiranagar,Night,2600.78,4.03,0.0347,79.9,8.0,2,1028.58,151.83
Jayanagar,Peak,3575.12,1.1,0.1129,187.3,3.0,2,1199.98,270.72
Koramangala,Night,10035.04,0.92,0.2837,60.6,3.0,2,849.25,369.03
Jayanagar,Peak,10390.66,3.57,0.0812,62.4,4.0,5,3076.5,389.08
Yelahanka,Morning,6786.7,0.64,0.366,78.7,13.0,1,509.19,683.82
Jayanagar,Peak,9780.85,0.29,0.3893,175.4,6.0,0,0.0,412.22
Koramangala,Morning,4953.54,2.28,0.2712,191.8,7.0,2,754.26,423.04
Koramangala,Night,5411.15,5.17,0.212,170.8,1.0,3,1300.71,414.23
Yelahanka,Night,4795.44,0.32,0.1303,173.9,13.0,0,0.0,579.77
Koramangala,Morning,5300.16,4.71,0.1906,202.6,4.0,3,1737.23,475.65
Electronic City,Night,8445.39,5.01,0.0645,30.2,12.0,0,0.0,664.36
Koramangala,Peak,5275.3,1.97,0.3027,58.8,7.0,0,0.0,227.17
Indiranagar,Morning,11479.49,0.18,0.1093,85.0,11.0,0,0.0,649.76
Electronic City,Night,7920.14,0.58,0.1807,125.2,2.0,6,2885.94,400.3
Electronic City,Morning,9169.05,3.69,0.0819,125.0,1.0,1,456.64,307.81
Yelahanka,Peak,7979.88,3.73,0.2012,125.8,1.0,0,0.0,357.05
HSR Layout,Peak,9428.54,6.86,0.5783,161.7,10.0,8,3922.87,797.36
HSR Layout,Night,5264.0,2.62,0.0215,24.1,6.0,2,842.79,178.31
Koramangala,Peak,9893.87,0.4,0.054,113.0,12.0,3,1519.7,675.95
Electronic City,Morning,7281.88,0.39,0.2673,133.3,5.0,0,0.0,282.64
HSR Layout,Peak,9418.53,3.83,0.0926,103.7,1.0,0,0.0,358.58
HSR Layout,Morning,4120.87,0.61,0.3765,129.5,10.0,1,574.61,357.36
Koramangala,Morning,7361.17,1.19,0.2981,171.1,3.0,2,934.5,418.33
HSR Layout,Peak,7290.48,2.0,0.3988,123.1,11.0,2,1301.54,609.67
Jayanagar,Night,5761.53,0.08,0.3175,226.9,7.0,2,1077.64,295.53
Whitefield,Peak,7626.24,0.86,0.1562,167.5,12.0,2,837.48,710.51
Yelahanka,Morning,10079.21,1.57,0.0703,133.3,9.0,0,0.0,430.59
Whitefield,Morning,5607.7,0.98,0.3991,145.2,13.0,2,761.48,741.08
Koramangala,Peak,8923.71,0.44,0.3924,157.2,9.0,1,528.48,566.47
Indiranagar,Night,4745.15,3.91,0.1371,204.3,6.0,0,0.0,339.87
Yelahanka,Night,11218.89,5.03,0.3687,178.7,3.0,0,0.0,511.85
Koramangala,Morning,8569.2,0.89,0.4283,145.7,1.0,3,1043.66,404.09
Electronic City,Morning,10450.23,4.47,0.3756,83.6,3.0,4,1566.68,512.36
Indiranagar,Night,8344.12,1.46,0.3269,140.7,10.0,0,0.0,515.56
Whitefield,Peak,7781.23,2.12,0.2469,148.9,2.0,0,0.0,392.44
Koramangala,Morning,8585.87,5.81,0.5384,158.9,11.0,0,0.0,837.14
Electronic City,Morning,6727.11,4.16,0.3754,83.3,5.0,5,2037.12,356.27
Yelahanka,Night,3764.33,4.91,0.318,156.9,8.0,2,908.1,312.86
Yelahanka,Peak,7894.8,0.44,0.4648,160.0,5.0,5,3098.93,364.38
Marathahalli,Night,5488.99,0.22,0.4589,59.5,1.0,3,1358.12,167.74
Electronic City,Peak,4796.68,6.72,0.1458,59.9,3.0,0,0.0,229.25
Jayanagar,Peak,8272.59,1.47,0.3599,175.9,12.0,0,0.0,654.81
HSR Layout,Peak,6441.78,1.02,0.5266,77.2,5.0,1,461.96,231.69
Indiranagar,Morning,9055.41,3.87,0.4678,196.9,7.0,0,0.0,426.65
Electronic City,Night,5422.12,5.43,0.2824,106.1,5.0,0,0.0,269.43
Marathahalli,Night,6058.34,5.95,0.3582,139.2,10.0,0,0.0,508.68
HSR Layout,Peak,9300.59,1.14,0.1288,136.8,5.0,2,918.43,424.9
HSR Layout,Morning,7559.69,5.74,0.1201,84.3,7.0,1,490.42,336.89
Koramangala,Morning,4045.34,0.13,0.5903,189.5,13.0,0,0.0,723.96
HSR Layout,Night,7515.52,0.15,0.1183,106.1,8.0,1,462.76,293.6
Jayanagar,Morning,9962.48,2.93,0.5102,122.9,8.0,0,0.0,460.25
Yelahanka,Morning,6042.85,0.2,0.1273,20.9,7.0,2,1117.92,173.34
Marathahalli,Peak,8196.12,1.18,0.3324,53.2,13.0,2,814.16,756.3
HSR Layout,Morning,5301.23,3.35,0.4888,176.4,3.0,0,0.0,405.27
Koramangala,Peak,6726.43,1.23,0.4065,119.7,11.0,2,799.19,609.92
Jayanagar,Night,9179.67,0.59,0.2667,90.7,2.0,1,444.44,262.17
Whitefield,Morning,7438.46,0.99,0.4841,91.5,1.0,0,0.0,247.39
Yelahanka,Night,9578.54,1.84,0.3998,147.4,6.0,0,0.0,316.27
Yelahanka,Night,7850.6,1.94,0.1459,183.0,13.0,8,3778.56,689.62
Marathahalli,Morning,11437.48,4.58,0.5518,91.9,9.0,0,0.0,565.77
Yelahanka,Morning,3870.17,4.16,0.4919,174.8,3.0,1,435.11,252.87
HSR Layout,Night,6565.61,1.83,0.1065,112.0,5.0,3,1068.39,214.7
Koramangala,Morning,4830.93,5.61,0.4299,145.0,9.0,0,0.0,380.92
Yelahanka,Peak,4967.5,0.36,0.2491,31.2,9.0,0,0.0,184.09
Yelahanka,Peak,4985.63,0.88,0.4167,39.8,7.0,4,2027.8,126.96
Whitefield,Morning,7335.45,5.28,0.4683,161.0,4.0,0,0.0,420.07
Whitefield,Night,7452.6,1.42,0.0312,133.7,11.0,2,1014.19,606.68
Indiranagar,Morning,7854.91,11.92,0.0589,140.2,2.0,2,715.79,466.61
Jayanagar,Morning,4753.88,1.88,0.0482,66.1,2.0,3,1250.93,231.29
HSR Layout,Night,6351.55,4.71,0.1463,98.9,4.0,8,2404.01,332.17
Yelahanka,Night,5071.41,1.54,0.5514,36.4,1.0,3,1328.74,255.47
Electronic City,Peak,8871.76,1.66,0.0873,77.6,4.0,2,820.68,328.87
Yelahanka,Night,5259.46,1.45,0.3423,118.9,12.0,4,1907.62,566.32
Koramangala,Peak,6572.58,3.81,0.6998,136.4,11.0,4,2707.03,623.99
Indiranagar,Night,8120.61,2.38,0.13,84.4,6.0,6,3255.49,434.37
Jayanagar,Morning,5768.74,8.64,0.2563,147.6,6.0,2,1204.73,355.83
Electronic City,Peak,8387.76,0.87,0.3551,118.1,7.0,0,0.0,386.6
Indiranagar,Peak,10192.16,0.32,0.131,108.7,5.0,2,943.99,385.22
Marathahalli,Peak,7379.42,1.5,0.6595,124.2,9.0,0,0.0,521.11
Jayanagar,Morning,8803.22,2.88,0.4471,225.0,2.0,0,0.0,508.94
Yelahanka,Morning,2853.16,5.92,0.2008,111.9,2.0,0,0.0,119.89
Yelahanka,Morning,6141.9,1.27,0.5768,167.6,4.0,5,2284.82,400.38
Jayanagar,Morning,7369.8,3.18,0.2454,147.3,4.0,0,0.0,273.13
Yelahanka,Morning,4894.07,1.29,0.172,107.6,4.0,2,1031.16,128.35
HSR Layout,Peak,7415.3,2.88,0.1088,42.5,1.0,1,365.99,333.57
Jayanagar,Morning,9119.88,6.48,0.1533,88.6,4.0,0,0.0,370.53
Indiranagar,Peak,3240.88,0.79,0.205,123.8,12.0,1,484.02,506.09
Jayanagar,Morning,4621.85,1.55,0.2106,114.8,5.0,2,895.3,168.8
Electronic City,Night,7369.63,15.0,0.1729,184.8,9.0,4,1796.75,693.84
Yelahanka,Peak,7920.84,6.09,0.1535,83.3,3.0,0,0.0,289.01
HSR Layout,Night,8476.16,2.49,0.2704,112.7,3.0,0,0.0,343.88
HSR Layout,Peak,7221.78,2.18,0.4417,146.8,5.0,2,645.99,312.16
Marathahalli,Night,7923.02,1.0,0.3126,106.1,10.0,0,0.0,464.95
Indiranagar,Morning,8806.96,2.18,0.2226,168.7,6.0,0,0.0,443.19
Whitefield,Morning,6171.08,5.66,0.2152,65.6,3.0,0,0.0,313.27
Whitefield,Morning,5782.83,3.47,0.5645,44.0,1.0,2,796.12,311.5
Jayanagar,Peak,6662.99,1.03,0.1265,105.7,10.0,0,0.0,355.42
Marathahalli,Night,7398.98,0.67,0.5468,116.4,8.0,1,562.48,334.05
Koramangala,Morning,5683.45,0.92,0.3553,130.9,12.0,6,3343.34,731.74
Jayanagar,Night,6212.49,0.56,0.2915,126.9,1.0,3,1679.72,184.35
Marathahalli,Night,7795.4,0.3,0.1106,99.6,2.0,0,0.0,249.65
Indiranagar,Morning,7315.5,1.63,0.5265,44.6,3.0,1,462.22,330.98
Indiranagar,Morning,6629.33,0.36,0.2318,114.1,6.0,0,0.0,216.47
Indiranagar,Night,3517.86,0.57,0.2865,68.0,4.0,0,0.0,184.13
Indiranagar,Morning,6992.98,2.38,0.367,123.5,4.0,0,0.0,359.43
Indiranagar,Morning,5059.99,0.54,0.2283,64.6,9.0,1,497.77,325.96
Marathahalli,Morning,8966.17,0.2,0.3326,139.0,6.0,1,343.59,481.72
Marathahalli,Peak,6382.56,1.15,0.2915,203.4,12.0,5,2571.54,752.32
HSR Layout,Night,5007.54,0.75,0.2359,83.7,2.0,5,3018.8,192.79
Electronic City,Night,6876.91,2.17,0.4787,56.7,7.0,0,0.0,331.5
Whitefield,Peak,9541.4,0.32,0.2798,177.2,13.0,2,931.56,863.21
Yelahanka,Night,8261.63,4.18,0.2412,208.4,3.0,0,0.0,444.49
Indiranagar,Morning,7439.83,7.1,0.0235,57.7,9.0,2,685.39,496.46
Koramangala,Night,4347.81,4.08,0.4866,115.4,6.0,0,0.0,294.23
Yelahanka,Morning,10243.2,2.28,0.1488,144.3,8.0,5,2278.13,509.73
Marathahalli,Peak,5756.75,5.91,0.5715,107.0,13.0,3,1404.14,726.04
Koramangala,Morning,8867.57,3.56,0.4307,32.4,13.0,0,0.0,878.12
Koramangala,Night,6349.27,0.03,0.4187,51.4,1.0,3,1533.03,277.5
Koramangala,Night,8675.02,1.5,0.2091,56.6,2.0,2,727.67,374.74
HSR Layout,Night,9613.75,5.71,0.4151,68.0,6.0,1,401.56,429.46
Marathahalli,Peak,8296.27,1.27,0.4928,124.3,3.0,2,919.0,417.18
Koramangala,Peak,8511.71,0.11,0.317,174.9,1.0,2,675.41,449.54
Indiranagar,Night,6803.12,4.11,0.1248,52.1,6.0,4,1963.92,257.28
Jayanagar,Morning,6132.07,4.86,0.0963,80.7,5.0,2,1093.23,264.68
Koramangala,Peak,7276.6,0.53,0.1587,64.5,13.0,1,591.37,724.2
HSR Layout,Night,6320.17,2.31,0.1411,134.4,9.0,3,1463.14,368.9
Yelahanka,Night,11934.41,0.64,0.0343,78.9,6.0,7,4416.38,483.22
Marathahalli,Peak,5015.28,3.81,0.1031,69.5,5.0,0,0.0,203.89
Electronic City,Peak,9004.17,0.95,0.2161,40.1,1.0,0,0.0,300.27
HSR Layout,Peak,8034.39,1.14,0.1098,188.0,1.0,2,951.05,467.19
Koramangala,Morning,7459.74,5.59,0.5542,229.5,11.0,6,2781.28,1010.56
Marathahalli,Morning,9959.77,1.94,0.2878,124.2,1.0,0,0.0,449.94
Jayanagar,Night,7596.75,3.32,0.1041,194.3,7.0,1,501.65,344.42
Koramangala,Peak,5730.19,1.54,0.3483,91.7,6.0,0,0.0,253.66
HSR Layout,Morning,7583.46,1.06,0.5478,120.0,5.0,2,1114.71,356.76
Whitefield,Peak,6633.64,2.95,0.414,152.6,4.0,5,2228.02,428.91
Indiranagar,Night,8006.57,0.5,0.2159,82.4,11.0,1,523.1,562.57
Electronic City,Morning,8626.15,1.4,0.1124,112.0,13.0,1,502.47,742.36
Yelahanka,Morning,5281.82,0.7,0.1461,105.9,13.0,4,1956.46,659.77
HSR Layout,Morning,9390.67,3.57,0.6378,141.9,11.0,0,0.0,612.5
Marathahalli,Night,6490.2,8.66,0.0976,123.1,8.0,4,1513.19,359.54
Electronic City,Peak,7887.23,16.22,0.4754,83.6,11.0,1,459.69,782.72
Electronic City,Morning,8234.06,1.8,0.1673,105.0,8.0,1,464.82,295.92
Electronic City,Night,7734.78,0.87,0.459,175.7,5.0,1,422.18,420.16
Koramangala,Peak,6781.78,1.75,0.5031,147.4,4.0,2,742.74,376.73
Indiranagar,Night,6022.8,5.64,0.2935,143.1,2.0,5,2177.39,466.83
Koramangala,Peak,6462.01,0.69,0.405,232.8,7.0,5,2210.63,537.69
Marathahalli,Night,10130.34,9.12,0.3884,63.5,5.0,3,1118.33,531.81
Koramangala,Peak,5268.27,1.26,0.2815,155.5,3.0,0,0.0,371.85
Whitefield,Morning,5561.51,12.76,0.1416,122.7,9.0,0,0.0,476.56
Indiranagar,Peak,5473.7,5.47,0.0992,137.2,9.0,1,503.61,394.97
Indiranagar,Night,7271.51,4.96,0.098,129.1,11.0,4,2232.97,725.49
Marathahalli,Night,3950.59,1.15,0.0839,84.9,11.0,1,481.29,318.62
Yelahanka,Peak,4292.88,0.03,0.3893,68.2,10.0,6,2685.93,340.36
Whitefield,Morning,6478.09,1.44,0.1396,120.0,11.0,7,2581.6,596.14
HSR Layout,Morning,4424.45,1.08,0.3346,80.9,8.0,1,303.61,156.74
Koramangala,Peak,4587.46,0.11,0.3082,101.5,1.0,3,1432.09,154.72
Jayanagar,Peak,4439.46,2.11,0.3716,159.9,12.0,8,4234.03,587.2
Koramangala,Night,5306.78,1.55,0.0915,58.7,3.0,3,1240.22,143.97
Electronic City,Morning,8462.49,3.02,0.0926,110.4,2.0,2,1128.87,420.56
Koramangala,Peak,8911.42,2.91,0.1374,172.7,4.0,3,1274.67,555.63
HSR Layout,Morning,10838.0,0.39,0.1564,94.6,2.0,0,0.0,358.86
Koramangala,Peak,10764.72,11.31,0.3428,193.5,12.0,2,835.07,1057.58
Whitefield,Peak,8572.63,0.62,0.2472,42.5,11.0,0,0.0,489.38
Whitefield,Morning,9055.36,1.77,0.171,211.0,8.0,0,0.0,439.04
Indiranagar,Peak,7262.2,2.01,0.2635,120.9,1.0,4,1624.69,437.14
Marathahalli,Peak,8039.73,5.03,0.6191,53.6,4.0,2,713.21,412.03
Yelahanka,Night,10887.21,0.31,0.1656,161.7,5.0,0,0.0,371.21
Jayanagar,Peak,7742.43,1.68,0.1054,141.5,10.0,1,408.85,453.11
Electronic City,Peak,9306.48,2.97,0.0909,189.1,4.0,6,2201.81,504.9
Koramangala,Peak,5131.3,0.73,0.3303,43.2,8.0,3,1754.74,143.45
Koramangala,Night,5667.52,2.96,0.2478,65.2,2.0,0,0.0,233.98
HSR Layout,Morning,7624.14,7.72,0.5166,158.5,9.0,6,2191.16,554.61
Marathahalli,Night,7299.86,18.0,0.2823,247.5,2.0,1,442.95,683.51
Whitefield,Night,5760.13,0.1,0.8752,148.8,2.0,2,1301.21,387.23
Jayanagar,Morning,11814.76,0.81,0.288,156.5,13.0,2,977.98,838.65
Indiranagar,Night,7345.19,1.11,0.475,81.9,2.0,4,1714.61,362.75
Whitefield,Morning,6114.55,1.53,0.424,110.9,12.0,4,2080.44,638.35
Electronic City,Night,7303.24,0.83,0.094,89.0,10.0,0,0.0,366.52
Marathahalli,Morning,7050.85,0.68,0.1325,145.1,8.0,2,878.49,203.77
Electronic City,Peak,7375.61,9.27,0.2009,166.5,3.0,1,427.49,387.67
Yelahanka,Night,3812.57,7.52,0.098,129.3,10.0,1,548.32,334.16
Indiranagar,Night,9583.89,0.14,0.4723,159.8,11.0,1,495.58,729.55
Yelahanka,Night,9697.66,1.24,0.1964,118.6,10.0,1,593.78,487.5
HSR Layout,Night,9940.64,1.56,0.2603,186.2,8.0,1,504.55,521.29
Electronic City,Peak,7650.86,0.82,0.1415,76.9,7.0,0,0.0,206.49
HSR Layout,Night,8324.96,2.97,0.2868,190.8,10.0,2,1064.01,574.18
Koramangala,Peak,5267.55,3.07,0.1683,84.2,4.0,2,918.41,212.52
Yelahanka,Peak,8665.8,5.7,0.2031,120.8,7.0,1,469.17,339.87
Marathahalli,Peak,7503.58,4.05,0.4868,60.3,11.0,6,3757.38,671.58
Electronic City,Peak,6079.19,2.35,0.6233,145.3,8.0,0,0.0,346.46
Jayanagar,Morning,8729.49,3.18,0.4648,126.6,6.0,1,603.74,279.04
Indiranagar,Morning,8806.9,0.96,0.3586,156.9,6.0,1,399.4,482.49
Whitefield,Night,7121.22,2.7,0.1311,33.3,3.0,0,0.0,296.48
Marathahalli,Morning,7876.77,2.02,0.1318,126.7,5.0,0,0.0,361.47
Marathahalli,Morning,4936.57,0.43,0.4473,140.2,10.0,4,1972.95,316.59
